"","gmean","variance","residual_variance"
"C1orf167",0.0340630004949833,0.0588703360490189,0.626585714111706
"MTHFR",0.185399709201667,0.361077352970021,1.26566266923688
"CLCN6",0.0749484611882307,0.124926087256967,0.934090889697706
"NPPB",0.00384345140962927,0.019965233597371,0.469478221125225
"AL021155.5",0.0717056445307733,0.117353781042835,1.20917111814771
"KIAA2013",0.2391721350396,0.65865947007925,0.819302942846848
"PLOD1",0.367708547871036,1.46057414632591,0.863139474626346
"MFN2",0.283721020389977,0.683098157364106,1.02595533704114
"MIIP",0.175513175178231,0.307274669063323,1.03680657251036
"TNFRSF8",0.00157729350896618,0.00226962292811564,0.0566160578295477
"TNFRSF1B",0.149874722371955,0.318364994262841,1.28156880203669
"VPS13D",0.256016086865603,0.523753248746948,1.03140788031181
"DHRS3",0.832030152784178,2.49325795785248,1.12678610418361
"AC254633.1",0.00157729350896618,0.00226962292811564,0.0566166546617281
"PDPN",0.0141528505016144,0.0209641159580768,0.423095067743092
"PRDM2",0.188024858596425,0.334484075605547,1.21712541047189
"KAZN",0.0465795255907826,0.0794500436752416,0.712532408599877
"TMEM51-AS1",0.0361005821704332,0.0581805527452505,0.639660230019378
"TMEM51",0.125455473081813,0.234609080726163,0.972403784939389
"FHAD1",0.0114663690520802,0.0183700838457054,0.355582810049582
"EFHD2",0.512818000780966,1.41711283274183,1.16939817291902
"CASP9",0.0814379307530994,0.132857974569464,0.623716687585309
"DNAJC16",0.140563450561159,0.274047141123373,1.05637170263092
"AGMAT",0.00220890729229084,0.00317457558878819,0.0796533709057395
"DDI2",0.22950240476792,0.550169425179202,0.913261461314436
"PLEKHM2",0.147434896260223,0.318686506936523,0.890559489003045
"SLC25A34",0.00442269385600746,0.00632887560356039,0.15734135230119
"FBLIM1",0.134805259237582,0.271315731652363,0.994646936386894
"UQCRHL",0.0028409193833383,0.00407787310056147,0.102067144800263
"AL450998.2",0.00587536196069349,0.00947945153330925,0.208111647113231
"SPEN",0.280766831508284,0.672378999305248,1.32948395691264
"ZBTB17",0.202540703642416,0.411423672187829,1.27087012305231
"HSPB7",0.017917520906878,0.0324918142542251,0.502625944220184
"CLCNKA",0.00905098579105391,0.0139297331362051,0.323612602400301
"CLCNKB",0.0160726931919981,0.0235746995594408,0.448804836584257
"FAM131C",0.00157729350896618,0.00226962292811564,0.0564847796178394
"EPHA2",0.132579383135376,0.30070414172047,0.83672966645732
"AL451042.2",0.00841505998150916,0.0130429871134245,0.296551291795135
"ARHGEF19",0.37465925604006,1.17326057298773,0.808737685223156
"AL109627.1",0.0368896082182184,0.0549476331577635,0.579027668199541
"CPLANE2",0.0258913932485749,0.0431261459319957,0.414661958558037
"FBXO42",0.156753968682813,0.284361615276363,0.979468044127948
"SZRD1",0.609098154004837,2.73005845572125,0.879496247053733
"NECAP2",0.300267042446656,0.778311839155938,0.824480864444612
"LINC01772",0.00650968618812797,0.0103728181516869,0.228074246785909
"AL137802.2",0.00918300255677296,0.0130198150288348,0.307410062213854
"LINC01783",0.00854699354740008,0.0121330690060541,0.291831276432173
"NBPF1",0.0737985676895094,0.140548623929895,0.667276948422957
"CROCC",0.16917492898111,0.31115888974267,0.96412149110053
"BX284668.5",0.126997266918598,0.312533904690732,0.709022794335491
"BX284668.6",0.00537295585074538,0.00767451165866195,0.187561275425775
"MFAP2",0.207518727217076,0.730134592570618,1.8277449138016
"ATP13A2",0.21285262782972,0.588102955226979,0.880021453723614
"SDHB",0.400287386834043,1.58507651546467,0.849578547959704
"PADI2",0.0103240407439464,0.0156982597350686,0.340939907429432
"PADI1",0.00220890729229084,0.00317457558878819,0.0789383448156625
"PADI4",0.00378968489639098,0.00542971596403527,0.13506918767974
"RCC2",0.335536227975744,0.989952832394248,0.824943036140735
"ARHGEF10L",0.257409623048354,0.558124070789065,0.910191841981491
"IGSF21",0.0028409193833383,0.00407787310056147,0.101579458304751
"KLHDC7A",0.0602442386239961,0.120022708642898,0.544260617471301
"ALDH4A1",0.0640462600728176,0.105869944192517,0.598275268478065
"IFFO2",0.181268679739846,0.343390431832487,0.993922088392079
"AL137127.1",0.014339863465515,0.0223101658004031,0.386982593318631
"UBR4",0.0239224213230065,0.0329581524565927,0.6154982566648
"EMC1-AS1",0.00347333003328942,0.00497951546343549,0.12314723501292
"EMC1",0.352843238753268,0.909271771725179,1.04292248762868
"MRTO4",0.289844030918679,0.609923610740425,1.16826361233743
"AKR7A3",0.00442269385600746,0.00632887560356039,0.157135942559059
"AKR7A2",0.301955924148908,1.24897163529952,0.810035648354365
"SLC66A1",0.302109206235742,0.69119555956654,1.0674963157273
"CAPZB",2.54796768939121,18.4131007518099,0.862674389598619
"MICOS10",0.748490469153083,7.27540394943344,0.835175085208552
"NBL1",2.03834861175574,19.0936570142521,1.51752422028531
"TMCO4",0.171501693373863,0.327755481542813,0.821547782873088
"RNF186",0.00315707487274586,0.00452890117561088,0.113634301254099
"OTUD3",0.153516811768397,0.288749828795536,0.965703733665312
"PLA2G2A",0.0033420601811609,0.00588943357080582,0.147876038010512
"PLA2G5",0.0103240407439464,0.0156982597350686,0.357039175257196
"PLA2G2D",0.00415992295714474,0.01723547927526,0.430423029502053
"Z98257.1",0.212470258541502,0.493570780994425,1.04263965006501
"PLA2G2C",0.00410613949348293,0.00587950267741024,0.144325187318631
"UBXN10-AS1",0.0278334575946759,0.0456399033227528,0.495994485830834
"UBXN10",0.0535052797176894,0.0898042414018116,0.59730277173617
"AL020998.1",0.00624636930314382,0.0121926543664276,0.260050331546996
"CAMK2N1",0.108937433092203,0.189706132450808,1.95842274453776
"MUL1",0.250166666309804,0.574128946857722,0.923415218876141
"FAM43B",0.00220890729229084,0.00317457558878819,0.0795239279529864
"CDA",0.0103240407439464,0.0156982597350686,0.302087967258215
"PINK1",0.482556420354933,1.56567403249306,0.924930303590106
"PINK1-AS",0.0190138528508512,0.0297124054651362,0.48334890844941
"DDOST",0.507528069589369,2.43889748876671,0.767592776086445
"KIF17",0.0049246250999575,0.00813629820155658,0.201209939758918
"HP1BP3",1.15130958460807,5.06527452092751,0.917019149040381
"EIF4G3",0.254240290438242,0.591999175735845,1.13920352828707
"ECE1",0.425741523713794,1.18314967387361,1.04388828785998
"NBPF3",0.0342536849529396,0.0601890759345074,0.50979444381119
"ALPL",0.354936339307979,1.60959671883283,1.28583530526468
"RAP1GAP",0.686147395509122,4.53318635611106,0.911354381638997
"USP48",0.370871734980711,1.06939501411221,0.93598404966018
"LDLRAD2",0.0114121942503764,0.0161103918109853,0.342463600552264
"HSPG2",2.20189418140974,15.5726951741237,0.893747527386882
"LINC01635",0.00252486353365411,0.00362643123828724,0.0909655102965704
"LINC00339",0.256979579511281,0.540788455005395,1.14739114386649
"CDC42",2.27669345375706,26.8655274276795,0.824257853847479
"CDC42-AS1",0.01013776817381,0.0143468306588196,0.291098369596181
"WNT4",0.00777953494619776,0.0121545859417446,0.262552305670471
"ZBTB40",0.0781177894057969,0.138608375632732,0.880903510397261
"C1QA",1.43084730437894,12.5149184777099,5.38647878121396
"C1QC",0.211158683338433,1.09158683676632,2.01881469452667
"C1QB",0.380967913216764,2.89472301290066,3.0717577477088
"EPHB2",0.0630153474174113,0.110049608950383,0.919663445082702
"KDM1A",0.276622794640492,0.831721425199066,0.828014872369079
"LUZP1",0.112973679275239,0.192483058516548,1.25316480084422
"HTR1D",0.00189305062785561,0.00272230615206432,0.0677048495649535
"LINC01355",0.0150338914499129,0.025435914496663,0.394315616761163
"HNRNPR",0.468727965349929,1.76729185778463,0.90680518691444
"ZNF436",0.0654710162308933,0.119366855891565,0.933635499827829
"ZNF436-AS1",0.00505610200317164,0.00722638009418625,0.178219194666354
"AL109936.2",0.0288853586152398,0.0468911958905964,0.58022308992628
"TCEA3",0.949968613987066,5.87438909488598,0.900014278980334
"ASAP3",0.149948125861125,0.285832215073358,0.825155825015694
"E2F2",0.0105644741589506,0.0224798185625777,0.484227764094532
"ID3",0.181897883898056,0.551316443366392,1.35120167625336
"MDS2",0.00315707487274586,0.00452890117561088,0.11141305352023
"RPL11",4.73807621765228,370.227297460464,1.42281921588335
"ELOA-AS1",0.0371860570391824,0.0688041259551762,0.498731310409283
"ELOA",0.400707794281956,1.37495867300092,0.864226363884481
"PITHD1",0.391679140639388,1.31504931723039,0.911230320563991
"LYPLA2",0.751859117934631,3.45281811858397,0.796978057573045
"GALE",0.591622399358531,3.38183292016678,0.795724144070397
"HMGCL",0.428213573206168,1.52349463173145,0.82666485445932
"FUCA1",1.48695580334801,16.3244513905528,0.871731600885988
"PNRC2",0.747877994399488,3.07717545530043,0.86866572918531
"SRSF10",0.47739010656228,1.39686374110823,0.965614082662604
"IL22RA1",0.00252486353365411,0.00362643123828724,0.089921372291146
"IFNLR1",0.0757083775469227,0.155196277901155,0.72448054687789
"GRHL3",0.0107747803560649,0.0152294388093521,0.317516991029735
"STPG1",0.0339277290402231,0.0629188302566184,0.590152151978679
"NIPAL3",0.171652590656601,0.362732501869283,0.955374884755456
"RCAN3AS",0.00252486353365411,0.00362643123828724,0.0901223654751412
"RCAN3",0.193082497586572,0.414991345640194,0.899533013836698
"NCMAP-DT",0.00189305062785561,0.00272230615206432,0.0672893126196645
"NCMAP",0.150671617307334,0.491551913124547,0.730489791554222
"SRRM1",0.548064274840282,1.35994688627182,1.3792425304373
"CLIC4",0.604700438363338,1.63143144311191,1.52341265330754
"RUNX3",0.0175422103608867,0.0266487248525987,0.527612399295258
"SYF2",0.420950720535848,1.4989160843646,1.07679637770117
"AL031432.4",0.020354128150442,0.0399896387678906,0.676379540022299
